title,raw_genres,raw_themes,raw_platforms,raw_release_date,rating,source_url,historical_status
Civilization VII,"Turn-based strategy, 4X, Strategy","Historical, Warfare, Empire, Expansion, Management","Windows, macOS, Linux, Nintendo Switch, Nintendo Switch 2, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S, iOS, tvOS, visionOS",2025-02-11,7.8,https://www.mobygames.com/game/237152/sid-meiers-civilization-vii/,core historical candidate
Civilization VI,"Strategy, Turn-based strategy, 4X","Historical, Warfare, Empire, Expansion, Management","Windows, macOS, Linux, iOS, Nintendo Switch, PlayStation 4, Xbox One, Android",2016-10-21,8.4,https://www.mobygames.com/game/81903/sid-meiers-civilization-vi/,core historical candidate
Civilization V,"Strategy, Turn-based strategy, 4X","Historical, Warfare, Empire, Expansion, Management","Windows, macOS, Linux",2010-09-21,8.6,https://www.mobygames.com/game/49917/sid-meiers-civilization-v/,core historical candidate
Crusader Kings III,"Grand strategy, Role-playing, Simulation","Historical, Medieval, Dynasty, Politics, Warfare, Management","Windows, macOS, Linux, PlayStation 5, Xbox Series X/S",2020-09-01,8.2,https://www.mobygames.com/game/56783/crusader-kings-ii/#google_vignette,core historical candidate
Crusader Kings II,"Grand strategy, Role-playing, Simulation","Historical, Medieval, Dynasty, Politics, Warfare, Management","Windows, macOS, Linux",2012-02-14,8.4,https://www.mobygames.com/game/149534/crusader-kings-iii/,core historical candidate
Europa Universalis IV,"Grand strategy, Simulation","Historical, Empire, Politics, Warfare, Trade, Management","Windows, macOS, Linux",2013-08-13,8,https://www.mobygames.com/game/62023/europa-universalis-iv/,core historical candidate
Hearts of Iron IV,"Grand strategy, Wargame, Simulation","Historical, World War II, Warfare, Military, Politics, Management","Windows, macOS, Linux",2016-06-06,7.8,https://www.mobygames.com/game/84168/hearts-of-iron-iv/,core historical candidate
Victoria 3,"Grand strategy, Simulation","Historical, Politics, Economy, Society, Management, Empire","Windows, macOS, Linux",2022-10-25,8.4,https://www.mobygames.com/game/193748/victoria-3/,core historical candidate
Victoria II,"Grand strategy, Simulation","Historical, Politics, Economy, Society, Management, Empire",Windows,2010-08-13,7.8,https://www.mobygames.com/game/52074/victoria-ii/,core historical candidate
Total War: Rome II,"Strategy, Turn-based strategy, Real-time tactics","Historical, Ancient Rome, Warfare, Empire, Military","Windows, macOS",2013-09-03,7.9,https://www.mobygames.com/game/65903/total-war-rome-ii/,core historical candidate
Total War: Three Kingdoms,"Strategy, Turn-based strategy, Real-time tactics","Historical, Ancient China, Warfare, Empire, Politics, Military","Windows, macOS, Linux",2019-05-23,8.2,https://www.mobygames.com/game/127464/total-war-three-kingdoms/,core historical candidate
Total War: Attila,"Strategy, Turn-based strategy, Real-time tactics","Historical, Late Antiquity, Warfare, Empire, Military","Windows, macOS, Linux",2015-02-17,7.9,https://www.mobygames.com/game/71954/total-war-attila/,core historical candidate
Empire: Total War,"Strategy, Turn-based strategy, Real-time tactics","Historical, Early Modern, Empire, Warfare, Trade, Military","Windows, macOS, Linux",2009-03-03,8.6,https://www.mobygames.com/game/39623/empire-total-war/,core historical candidate
Napoleon: Total War,"Strategy, Turn-based strategy, Real-time tactics","Historical, Napoleonic Wars, Warfare, Empire, Military","Windows, macOS",2010-02-23,7.9,https://www.mobygames.com/game/45432/napoleon-total-war/,core historical candidate
Medieval II: Total War,"Strategy, Turn-based strategy, Real-time tactics","Historical, Medieval, Warfare, Empire, Religion, Military","Windows, macOS, Linux",2006-11-10,8.4,https://www.mobygames.com/game/24995/medieval-ii-total-war/,core historical candidate
Age of Empires II: Definitive Edition,Real-time strategy,"Historical, Medieval, Warfare, Empire, Economy, Management","Windows, Xbox One, Xbox Series X/S",2019-11-14,8.4,https://www.mobygames.com/game/137199/age-of-empires-ii-definitive-edition/,core historical candidate
Age of Empires IV,Real-time strategy,"Historical, Medieval, Warfare, Empire, Economy, Management","Windows, Xbox One, Xbox Series X/S",2021-10-28,8.1,https://www.mobygames.com/game/174359/age-of-empires-iv/,core historical candidate
Age of Empires III: Definitive Edition,Real-time strategy,"Historical, Early Modern, Colonial, Warfare, Empire, Economy",Windows,2020-10-15,7.6,https://www.mobygames.com/game/151534/age-of-empires-iii-definitive-edition/,core historical candidate
